model_code,source_file,source_sheet,source_row,entry_type,category,path,path_root,leaf_name,is_multi_instance,param_name,name_zh,importance,northbound_index,northbound_mapping,access,data_type,value_range,default_value,description,source,remark,revision_note,revision_time
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,ST,137,parameter,Xn口采集配置策略,Device.FAP.SCMgmt.Config.{i}.XnXNREMOVALRESPONSEEnable,Device,XnXNREMOVALRESPONSEEnable,Y,XnXNREMOVALRESPONSEEnable,XnXNREMOVALRESPONSE信令软采开关,A,,,RW,boolean,,,"Xn口XNREMOVALRESPONSE信令采集的策略，仅标识采集配置策略，不标识采集开启。(0=false,1=true)。",信令软采设备规范-Small Cell NR分册,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,ST,126,parameter,Xn口采集配置策略,Device.FAP.SCMgmt.Config.{i}.XnXNSETUPFAILUREEnable,Device,XnXNSETUPFAILUREEnable,Y,XnXNSETUPFAILUREEnable,XnXNSETUPFAILURE信令软采开关,A,,,RW,boolean,,,"Xn口XNSETUPFAILURE信令采集的策略，仅标识采集配置策略，不标识采集开启。(0=false,1=true)。",信令软采设备规范-Small Cell NR分册,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,ST,124,parameter,Xn口采集配置策略,Device.FAP.SCMgmt.Config.{i}.XnXNSETUPREQUESTEnable,Device,XnXNSETUPREQUESTEnable,Y,XnXNSETUPREQUESTEnable,XnXNSETUPREQUEST信令软采开关,A,,,RW,boolean,,,"Xn口XNSETUPREQUEST信令采集的策略，仅标识采集配置策略，不标识采集开启。(0=false,1=true)。",信令软采设备规范-Small Cell NR分册,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,ST,125,parameter,Xn口采集配置策略,Device.FAP.SCMgmt.Config.{i}.XnXNSETUPRESPONSEEnable,Device,XnXNSETUPRESPONSEEnable,Y,XnXNSETUPRESPONSEEnable,XnXNSETUPRESPONSE信令软采开关,A,,,RW,boolean,,,"Xn口XNSETUPRESPONSE信令采集的策略，仅标识采集配置策略，不标识采集开启。(0=false,1=true)。",信令软采设备规范-Small Cell NR分册,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SF,15,parameter,Xn链接信息,Device.Services.FAPService.{i}.FAPControl.NR.XnIpAddrMapInfo.{i}.LocalAddress,Device,LocalAddress,Y,LocalAddress,本端地址,A,,,R,string(64),,,,NRM数据配置要求,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SF,13,parameter,Xn链接信息,Device.Services.FAPService.{i}.FAPControl.NR.XnIpAddrMapInfo.{i}.RemoteAddress,Device,RemoteAddress,Y,RemoteAddress,对端IP,A,,,RW,string(64),,,,NRM数据配置要求,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SF,14,parameter,Xn链接信息,Device.Services.FAPService.{i}.FAPControl.NR.XnIpAddrMapInfo.{i}.SubnetMask,Device,SubnetMask,Y,SubnetMask,子网掩码,A,,,R,string(64),,,,NRM数据配置要求,增加子网掩码用于配置Xn连接地址,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SF,11,parameter,Xn链接信息,Device.Services.FAPService.{i}.FAPControl.NR.XnIpAddrMapInfo.{i}.TAISupportList.{i}.BroadcastPLMNs.{i}.PLMNID,Device,PLMNID,Y,PLMNID,PLMNID,A,,,R,string(6),,,,"3GPP,TS38.423,9.2.3.20",,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SF,10,parameter,Xn链接信息,Device.Services.FAPService.{i}.FAPControl.NR.XnIpAddrMapInfo.{i}.TAISupportList.{i}.TAC,Device,TAC,Y,TAC,跟踪区编码,A,,,R,string(24),,,,"3GPP,TS38.423,9.2.3.20",,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SF,12,parameter,Xn链接信息,Device.Services.FAPService.{i}.FAPControl.NR.XnIpAddrMapInfo.{i}.gNBID,Device,gNBID,Y,gNBID,gNBID,A,,,RW,unsignedInt,,,,,20231020-建议不变，通过设置对方gNBID配置Xn也是可以的，并且符合省市公司客户习惯,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SF,19,parameter,gNB参数,Device.Services.FAPService.{i}.FAPControl.NR.RAN.Common.AdminState,Device,AdminState,Y,AdminState,基站的管理状态,A,AA,AdministrativeState,RW,unsignedInt[1:3],,,管理的状态，取值范围为{Locked，Unlocked，ShuttingDown}，依据x.731的状态转换来上报。,《5G SA gNB网元统计数据需求规范-NRM(V1.4.2)》,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SF,17,parameter,gNB参数,Device.Services.FAPService.{i}.FAPControl.NR.RAN.Common.gNBId,Device,gNBId,Y,gNBId,gNB标识,A,AG,gNBId,RW,unsignedInt[0:‭4294967295‬],,,小区gNBiD(32bit),TR系列规范(TR098/TR181/TR196)/NRM数据配置要求,"This IE is used to globally identify a gNB.
Equal to the leftmost bits of the NR Cell Identity IE contained in the NR CGI IE of each cell served by the gNB.",,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SF,16,parameter,gNB参数,Device.Services.FAPService.{i}.FAPControl.NR.RAN.Common.gNBIdLength,Device,gNBIdLength,Y,gNBIdLength,gNB标识长度,A,AG,gNBIdLength,RW,unsignedInt[22:32],,,gNB标识长度,3GPP TS38.413,根据设备规范，gNBIdLength取值为24,,20221118-修订
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SF,18,parameter,gNB参数,Device.Services.FAPService.{i}.FAPControl.NR.RAN.Common.gNBName,Device,gNBName,Y,gNBName,gNB名称,A,AA&AF,UserLabel,RW,string(150),,,gNB名称,自定义,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SO,23,parameter,vlan子接口配置参数管理,Device.Ethernet.Interface.{i}.VlanInterface.{i}.Enable,Device,Enable,Y,Enable,启用或禁用该接口,A,AS,AdministrativeState,RW,boolean,,,"(false:0,true:1)",,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SO,26,parameter,vlan子接口配置参数管理,Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv4Address.{i}.AddressingType,Device,AddressingType,Y,AddressingType,外部IP 地址方法,A,,,RW,string,,,"""DHCP"",""Static""",,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SO,27,parameter,vlan子接口配置参数管理,Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv4Address.{i}.DefaultGateway,Device,DefaultGateway,Y,DefaultGateway,vlan子接口的默认网关,A,,,RW,string(15),,,,,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SO,24,parameter,vlan子接口配置参数管理,Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv4Address.{i}.IPAddress,Device,IPAddress,Y,IPAddress,IP 地址,A,AS,IpAddressList/LocIpAddrList,RW,string(15),,,,,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SO,28,parameter,vlan子接口配置参数管理,Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv4Address.{i}.PortType,Device,PortType,Y,PortType,端口类型,A,AS,PortType,RW,string,,,"（Ng, Xn, Ng/Xn, S1, X2, S1/X2, F1, E1, OAM,IR,other）",NRM数据配置要求,描述对应IPv4地址的作用,,20231020-和北向保持一致，属性R修改为RW
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SO,25,parameter,vlan子接口配置参数管理,Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv4Address.{i}.SubnetMask,Device,SubnetMask,Y,SubnetMask,vlan子接口的子网掩码,A,,,RW,string,,,,,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SO,32,parameter,vlan子接口配置参数管理,Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv6Address.{i}.DefaultGateway,Device,DefaultGateway,Y,DefaultGateway,vlan子接口的默认网关,A,,,RW,string(64),,,,,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SO,29,parameter,vlan子接口配置参数管理,Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv6Address.{i}.IPAddress,Device,IPAddress,Y,IPAddress,IPv6 地址,A,AS,IpAddressList/LocIpv6AddrList,RW,string(64),,,,TR系列规范(TR098/TR181)/NRM数据配置要求,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SO,31,parameter,vlan子接口配置参数管理,Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv6Address.{i}.Origin,Device,Origin,Y,Origin,外部IP 来源,A,,,RW,string,,,"""DHCPv6"",""Static""",TR系列规范(TR098/TR181)/NRM数据配置要求,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SO,33,parameter,vlan子接口配置参数管理,Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv6Address.{i}.PortType,Device,PortType,Y,PortType,端口类型,A,AS,PortType,RW,string,,,"（Ng, Xn, Ng/Xn, S1, X2, S1/X2, F1, E1, IR,other）",NRM数据配置要求,描述对应IP地址的作用,,20231020-和北向保持一致，属性R修改为RW
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SO,30,parameter,vlan子接口配置参数管理,Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv6Address.{i}.PrefixLength,Device,PrefixLength,Y,PrefixLength,前缀长度,A,,,RW,unsignedInt[1:128],,,,,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SO,22,parameter,vlan子接口配置参数管理,Device.Ethernet.Interface.{i}.VlanInterface.{i}.Id,Device,Id,Y,Id,Vlan Id,A,,,RW,int[0:4094],,,vlan id,,20231020-暂不修改，需要修改开站规范,,20221118-修订
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SO,21,parameter,vlan子接口配置参数管理,Device.Ethernet.Interface.{i}.VlanInterface.{i}.Name,Device,Name,Y,Name,vlan子接口名称,A,,,RW,string,,,vlan子接口名称,,,,
CMCC_TD_LTE_V2.3,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SL,23,parameter,vlan子接口配置参数管理,InternetGatewayDevice.Ethernet.Interface.{i}.VlanInterface.{i}.Enable,InternetGatewayDevice,Enable,Y,Enable,启用或禁用该接口,A,AS,AdministrativeState,RW,boolean,,,"(false:0,true:1)",,,V2.2和NR侧的SO页保持一致，即可以支持配置vlan\ipv20等,
CMCC_TD_LTE_V2.3,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SL,26,parameter,vlan子接口配置参数管理,InternetGatewayDevice.Ethernet.Interface.{i}.VlanInterface.{i}.IPv4Address.{i}.AddressingType,InternetGatewayDevice,AddressingType,Y,AddressingType,外部IP 地址方法,A,,,RW,string,,,"""DHCP"",""Static""",,,V2.2和NR侧的SO页保持一致，即可以支持配置vlan\ipv23等,
CMCC_TD_LTE_V2.3,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SL,27,parameter,vlan子接口配置参数管理,InternetGatewayDevice.Ethernet.Interface.{i}.VlanInterface.{i}.IPv4Address.{i}.DefaultGateway,InternetGatewayDevice,DefaultGateway,Y,DefaultGateway,vlan子接口的默认网关,A,,,RW,string(15),,,,,,V2.2和NR侧的SO页保持一致，即可以支持配置vlan\ipv24等,
CMCC_TD_LTE_V2.3,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SL,24,parameter,vlan子接口配置参数管理,InternetGatewayDevice.Ethernet.Interface.{i}.VlanInterface.{i}.IPv4Address.{i}.IPAddress,InternetGatewayDevice,IPAddress,Y,IPAddress,IP 地址,A,AS,IpAddressList/LocIpAddrList,RW,string(15),,,,,,V2.2和NR侧的SO页保持一致，即可以支持配置vlan\ipv21等,
