model_code,category,path,entry_type,name_zh,access,data_type,mml_action,match_method,standard_param_exists,already_in_mml,target_chapter_code,target_chapter_name,target_group_name,target_object_path,target_group_code,candidate_commands,source_file,source_sheet,source_row,remark
CMCC_TD_LTE_V2.3,A1事件测量控制参数,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.A1MeasureCtrl.2.MaxReportCells,parameter,最大上报小区数,RW,unsignedInt[1:8],add_to_existing_command+insert_standard_param,object_prefix,no,no,SJ,移动性参数管理,连接态 EUTRA 测量,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.,DEVICE_SERVICES_FAPSERVICE_CELLCONFIG_LTE_RAN_MOBILITY_CONNMODE_EUTRA,LST CONN_MODE_EUTRA;MOD CONN_MODE_EUTRA,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SJ,22,
CMCC_TD_LTE_V2.3,A1事件测量控制参数,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.A1MeasureCtrl.2.MeasurePurpose,parameter,测量目的,R,unsignedInt[1:100],add_to_existing_command+insert_standard_param,object_prefix,no,no,SJ,移动性参数管理,连接态 EUTRA 测量,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.,DEVICE_SERVICES_FAPSERVICE_CELLCONFIG_LTE_RAN_MOBILITY_CONNMODE_EUTRA,LST CONN_MODE_EUTRA,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SJ,23,
CMCC_TD_LTE_V2.3,A1事件测量控制参数,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.A1MeasureCtrl.2.ReportAmount,parameter,上报次数,RW,"unsignedInt[0:2, 4, 8, 16, 32, 64]",add_to_existing_command+insert_standard_param,object_prefix,no,no,SJ,移动性参数管理,连接态 EUTRA 测量,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.,DEVICE_SERVICES_FAPSERVICE_CELLCONFIG_LTE_RAN_MOBILITY_CONNMODE_EUTRA,LST CONN_MODE_EUTRA;MOD CONN_MODE_EUTRA,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SJ,24,
CMCC_TD_LTE_V2.3,A1事件测量控制参数,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.A1MeasureCtrl.2.ReportInterval,parameter,上报间隔,RW,"unsignedInt[120, 240, 480, 640, 1024, 2048, 5120, 10240, 60000, 360000, 720000, 1800000, 3600000]",add_to_existing_command+insert_standard_param,object_prefix,no,no,SJ,移动性参数管理,连接态 EUTRA 测量,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.,DEVICE_SERVICES_FAPSERVICE_CELLCONFIG_LTE_RAN_MOBILITY_CONNMODE_EUTRA,LST CONN_MODE_EUTRA;MOD CONN_MODE_EUTRA,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SJ,25,
CMCC_TD_LTE_V2.3,A1事件测量控制参数,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.A1MeasureCtrl.2.ReportQuantity,parameter,上报量,RW,string,add_to_existing_command+insert_standard_param,object_prefix,no,no,SJ,移动性参数管理,连接态 EUTRA 测量,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.,DEVICE_SERVICES_FAPSERVICE_CELLCONFIG_LTE_RAN_MOBILITY_CONNMODE_EUTRA,LST CONN_MODE_EUTRA;MOD CONN_MODE_EUTRA,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SJ,26,
CMCC_TD_LTE_V2.3,A1事件测量控制参数,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.A1MeasureCtrl.2.TimeToTrigger,parameter,触发时间,RW,"unsignedInt[0,40, 64, 80,100,128, 160,256,320, 480, 512, 640, 1024,1280,2560,5120]",add_to_existing_command+insert_standard_param,object_prefix,no,no,SJ,移动性参数管理,连接态 EUTRA 测量,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.,DEVICE_SERVICES_FAPSERVICE_CELLCONFIG_LTE_RAN_MOBILITY_CONNMODE_EUTRA,LST CONN_MODE_EUTRA;MOD CONN_MODE_EUTRA,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SJ,27,
CMCC_TD_LTE_V2.3,A1事件测量控制参数,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.A1MeasureCtrl.2.TriggerQuantity,parameter,触发量,RW,string,add_to_existing_command+insert_standard_param,object_prefix,no,no,SJ,移动性参数管理,连接态 EUTRA 测量,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.,DEVICE_SERVICES_FAPSERVICE_CELLCONFIG_LTE_RAN_MOBILITY_CONNMODE_EUTRA,LST CONN_MODE_EUTRA;MOD CONN_MODE_EUTRA,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SJ,28,
CMCC_TD_LTE_V2.3,A1事件测量控制参数,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.A1MeasureCtrl.3.A1ThresholdRSRP,parameter,A1事件RSRP门限,RW,unsignedInt[0:97],add_to_existing_command+insert_standard_param,object_prefix,no,no,SJ,移动性参数管理,连接态 EUTRA 测量,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.,DEVICE_SERVICES_FAPSERVICE_CELLCONFIG_LTE_RAN_MOBILITY_CONNMODE_EUTRA,LST CONN_MODE_EUTRA;MOD CONN_MODE_EUTRA,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SJ,30,
CMCC_TD_LTE_V2.3,A1事件测量控制参数,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.A1MeasureCtrl.3.A1ThresholdRSRQ,parameter,A1事件RSRQ门限,RW,unsignedInt[0:34],add_to_existing_command+insert_standard_param,object_prefix,no,no,SJ,移动性参数管理,连接态 EUTRA 测量,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.,DEVICE_SERVICES_FAPSERVICE_CELLCONFIG_LTE_RAN_MOBILITY_CONNMODE_EUTRA,LST CONN_MODE_EUTRA;MOD CONN_MODE_EUTRA,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SJ,31,
CMCC_TD_LTE_V2.3,A1事件测量控制参数,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.A1MeasureCtrl.3.Enable,parameter,使能开关,RW,boolean,add_to_existing_command+insert_standard_param,object_prefix,no,no,SJ,移动性参数管理,连接态 EUTRA 测量,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.,DEVICE_SERVICES_FAPSERVICE_CELLCONFIG_LTE_RAN_MOBILITY_CONNMODE_EUTRA,LST CONN_MODE_EUTRA;MOD CONN_MODE_EUTRA,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SJ,29,
