path,entry_type,access,data_type,old_target_chapter_code,old_target_chapter_name,old_target_node_name,old_target_object_path,old_target_group_code,old_candidate_commands,rematch_decision,rematch_confidence,matched_chapter_code,matched_chapter_name,matched_group_name,matched_object_path,matched_group_code,matched_candidate_commands,match_source_type,match_source_file,match_reason,doc_category,doc_source_file,doc_source_sheet,doc_source_row
Device.Services.FAPService.{i}.FAPControl.EciAutoEnable,parameter,READ_WRITE,STRING,SF,小区服务参数管理,FAPControl,Device.Services.FAPService.{i}.FAPControl.,DEVICE_SERVICES_FAPSERVICE_FAPCONTROL,LST FAPCONTROL;MOD FAPCONTROL,YES_EXISTING_JSON_PARENT_GROUP,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,Device.Services.FAPService.{i}.,,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,参数 path 位于现有 JSON/seed 分组对象路径之下，可挂到该父分组；需确认是否过宽,,,,
Device.Services.FAPService.{i}.FAPControl.PLLSyncState,parameter,READ_ONLY,STRING,SF,小区服务参数管理,FAPControl,Device.Services.FAPService.{i}.FAPControl.,DEVICE_SERVICES_FAPSERVICE_FAPCONTROL,LST FAPCONTROL,YES_EXISTING_JSON_PARENT_GROUP,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,Device.Services.FAPService.{i}.,,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,参数 path 位于现有 JSON/seed 分组对象路径之下，可挂到该父分组；需确认是否过宽,,,,
Device.Services.FAPService.{i}.FAPControl.LTE.Gateway.AGPort1,parameter,READ_WRITE,STRING,SF,小区服务参数管理,Gateway,Device.Services.FAPService.{i}.FAPControl.LTE.Gateway.,DEVICE_SERVICES_FAPSERVICE_FAPCONTROL_LTE_GATEWAY,LST GATEWAY;MOD GATEWAY,YES_EXISTING_JSON_PARENT_GROUP,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,Device.Services.FAPService.{i}.,,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,参数 path 位于现有 JSON/seed 分组对象路径之下，可挂到该父分组；需确认是否过宽,接入网关参数管理,LTE V2.1.xlsx,SF,19
Device.Services.FAPService.{i}.FAPControl.LTE.Gateway.AGPort2,parameter,READ_WRITE,STRING,SF,小区服务参数管理,Gateway,Device.Services.FAPService.{i}.FAPControl.LTE.Gateway.,DEVICE_SERVICES_FAPSERVICE_FAPCONTROL_LTE_GATEWAY,LST GATEWAY;MOD GATEWAY,YES_EXISTING_JSON_PARENT_GROUP,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,Device.Services.FAPService.{i}.,,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,参数 path 位于现有 JSON/seed 分组对象路径之下，可挂到该父分组；需确认是否过宽,接入网关参数管理,LTE V2.1.xlsx,SF,20
Device.Services.FAPService.{i}.FAPControl.LTE.Gateway.AGPort3,parameter,READ_WRITE,STRING,SF,小区服务参数管理,Gateway,Device.Services.FAPService.{i}.FAPControl.LTE.Gateway.,DEVICE_SERVICES_FAPSERVICE_FAPCONTROL_LTE_GATEWAY,LST GATEWAY;MOD GATEWAY,YES_EXISTING_JSON_PARENT_GROUP,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,Device.Services.FAPService.{i}.,,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,参数 path 位于现有 JSON/seed 分组对象路径之下，可挂到该父分组；需确认是否过宽,接入网关参数管理,LTE V2.1.xlsx,SF,21
Device.Services.FAPService.{i}.FAPControl.LTE.Gateway.AGServerEnable,parameter,READ_WRITE,BOOLEAN,SF,小区服务参数管理,Gateway,Device.Services.FAPService.{i}.FAPControl.LTE.Gateway.,DEVICE_SERVICES_FAPSERVICE_FAPCONTROL_LTE_GATEWAY,LST GATEWAY;MOD GATEWAY,YES_EXISTING_JSON_PARENT_GROUP,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,Device.Services.FAPService.{i}.,,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,参数 path 位于现有 JSON/seed 分组对象路径之下，可挂到该父分组；需确认是否过宽,接入网关参数管理,LTE V2.1.xlsx,SF,15
Device.Services.FAPService.{i}.FAPControl.LTE.Gateway.AGServerIp1,parameter,READ_WRITE,STRING,SF,小区服务参数管理,Gateway,Device.Services.FAPService.{i}.FAPControl.LTE.Gateway.,DEVICE_SERVICES_FAPSERVICE_FAPCONTROL_LTE_GATEWAY,LST GATEWAY;MOD GATEWAY,YES_EXISTING_JSON_PARENT_GROUP,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,Device.Services.FAPService.{i}.,,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,参数 path 位于现有 JSON/seed 分组对象路径之下，可挂到该父分组；需确认是否过宽,接入网关参数管理,LTE V2.1.xlsx,SF,16
Device.Services.FAPService.{i}.FAPControl.LTE.Gateway.AGServerIp2,parameter,READ_WRITE,STRING,SF,小区服务参数管理,Gateway,Device.Services.FAPService.{i}.FAPControl.LTE.Gateway.,DEVICE_SERVICES_FAPSERVICE_FAPCONTROL_LTE_GATEWAY,LST GATEWAY;MOD GATEWAY,YES_EXISTING_JSON_PARENT_GROUP,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,Device.Services.FAPService.{i}.,,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,参数 path 位于现有 JSON/seed 分组对象路径之下，可挂到该父分组；需确认是否过宽,接入网关参数管理,LTE V2.1.xlsx,SF,17
Device.Services.FAPService.{i}.FAPControl.LTE.Gateway.AGServerIp3,parameter,READ_WRITE,STRING,SF,小区服务参数管理,Gateway,Device.Services.FAPService.{i}.FAPControl.LTE.Gateway.,DEVICE_SERVICES_FAPSERVICE_FAPCONTROL_LTE_GATEWAY,LST GATEWAY;MOD GATEWAY,YES_EXISTING_JSON_PARENT_GROUP,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,Device.Services.FAPService.{i}.,,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,参数 path 位于现有 JSON/seed 分组对象路径之下，可挂到该父分组；需确认是否过宽,接入网关参数管理,LTE V2.1.xlsx,SF,18
Device.Services.FAPService.{i}.FAPControl.LTE.Gateway.ExistPlmnidList,parameter,READ_WRITE,STRING,SF,小区服务参数管理,Gateway,Device.Services.FAPService.{i}.FAPControl.LTE.Gateway.,DEVICE_SERVICES_FAPSERVICE_FAPCONTROL_LTE_GATEWAY,LST GATEWAY;MOD GATEWAY,YES_EXISTING_JSON_PARENT_GROUP,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,Device.Services.FAPService.{i}.,,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,参数 path 位于现有 JSON/seed 分组对象路径之下，可挂到该父分组；需确认是否过宽,,,,
