record_type,command_code,standard_path,base_mml_code,access_type,source_candidate,resolve_method,skipped_reason
binding,MOD DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG11_ENABLE,WAN_CONFIG11_ENABLE,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG11_IPADDR,WAN_CONFIG11_IPADDR,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG11_IPADDR,WAN_CONFIG11_IPADDR,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG11_IPMODE,WAN_CONFIG11_IPMODE,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG11_IPMODE,WAN_CONFIG11_IPMODE,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG11_NETMASK,WAN_CONFIG11_NETMASK,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG11_NETMASK,WAN_CONFIG11_NETMASK,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG11_OPTION60,WAN_CONFIG11_OPTION60,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG11_OPTION60,WAN_CONFIG11_OPTION60,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG11_V6_GW,WAN_CONFIG11_V6_GW,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG11_V6_GW,WAN_CONFIG11_V6_GW,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG11_V6_IPADDR,WAN_CONFIG11_V6_IPADDR,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG11_V6_IPADDR,WAN_CONFIG11_V6_IPADDR,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG11_V6_PREFIX,WAN_CONFIG11_V6_PREFIX,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG11_V6_PREFIX,WAN_CONFIG11_V6_PREFIX,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG11_VLAN,WAN_CONFIG11_VLAN,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG11_VLAN,WAN_CONFIG11_VLAN,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG12_DEFAULTGW,WAN_CONFIG12_DEFAULTGW,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG12_DEFAULTGW,WAN_CONFIG12_DEFAULTGW,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG12_ENABLE,WAN_CONFIG12_ENABLE,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG12_ENABLE,WAN_CONFIG12_ENABLE,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG12_IPADDR,WAN_CONFIG12_IPADDR,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG12_IPADDR,WAN_CONFIG12_IPADDR,RW,MOD DEVICE_INFO,parent_exact,
